HIP,RAhms,DEdms,Vmag,Plx,SpType,BV
1374,00 17 11.96,-18 18 21.1,10.67,9.21,,0.628
1386,00 17 19.86,+29 10 55.1,11.54,42.65,M:,1.505
1387,00 17 21.46,-71 54 56.8,10.07,0.9,F3/5 +(A),0.349
1389,00 17 22.29,+18 51 34.4,10.51,23.3,K:,1.31
1398,00 17 30.08,-47 25 59.6,11.36,24.12,K7,1.22
1399,00 17 30.31,-59 57 03.8,11.3,22.54,M1,1.4
1406,00 17 32.92,+24 40 04.3,10.83,20.51,,1.249
1405,00 17 34.91,+65 16 07.9,12.12,-14.53,,1.04
1407,00 17 36.44,-64 22 42.9,11.3,21.8,K7,1.31
1408,00 17 38.73,-52 48 04.5,10.42,17.1,,0.998
1412,00 17 40.73,-08 40 56.3,10.99,28.38,M0,1.4140000000000001
1418,00 17 45.61,-48 09 41.1,10.4,4.9,K3IV,0.708
1420,00 17 47.04,-03 16 27.4,10.43,17.0,,1.0
1423,00 17 48.28,-06 11 17.7,10.01,3.81,,0.28600000000000003
1438,00 17 55.94,+04 41 56.2,12.22,4.74,K7,0.7170000000000001
1443,00 17 58.09,-07 50 44.1,11.03,2.58,,0.767
1459,00 18 10.54,+34 18 37.6,10.22,5.1,F2,0.327
1463,00 18 16.59,+10 12 10.3,10.88,61.67,M0,1.479
1485,00 18 27.84,-35 18 43.5,11.26,7.81,,0.755
1511,00 18 49.79,+30 23 33.7,11.61,0.37,B8,0.235
1512,00 18 51.06,+01 03 47.2,10.27,3.83,,0.975
1513,00 18 53.56,-23 17 21.3,10.38,3.94,F8,0.65
1515,00 18 55.15,-23 09 51.4,10.12,0.74,G5,0.858
1523,00 18 58.42,-26 17 37.4,10.3,1.91,F8,0.461
1539,00 19 12.41,-03 03 11.1,10.93,31.24,,1.375
1546,00 19 16.97,-19 54 29.8,12.46,33.85,K:...,
1568,00 19 30.56,+31 58 50.3,10.3,4.87,F0,0.3
1608,00 20 08.29,-17 03 40.9,11.67,39.31,,1.49
1616,00 20 13.21,-25 56 11.8,10.48,3.11,F5,0.52
1617,00 20 13.42,+36 55 16.2,11.25,19.49,,
1659,00 20 47.55,-28 53 52.7,10.98,12.88,K3V,1.013
1678,00 21 00.55,-24 15 09.8,10.86,3.28,F8,0.49
1687,00 21 07.98,+20 35 15.2,10.06,18.33,K3,0.96
1696,00 21 19.56,-45 44 40.0,10.41,55.68,M0,1.475
1703,00 21 25.59,+32 46 46.9,11.58,1.78,B9,-0.04
1713,00 21 33.27,-39 25 48.0,10.41,3.67,F8,0.442
1720,00 21 37.52,-46 05 30.3,12.21,50.1,M6,1.537
1727,00 21 45.50,+58 20 22.4,10.91,1.87,B...,0.45
1734,00 21 56.00,-31 24 20.1,11.16,54.91,M2V:,1.485
1737,00 21 58.51,+39 38 17.2,10.28,4.37,,0.61
1771,00 22 25.09,+06 40 05.2,11.21,20.26,M1Vvar,1.47
1774,00 22 27.59,+47 47 10.4,11.19,14.45,M0,1.28
1784,00 22 41.05,-21 55 38.3,10.54,3.7,F5,0.45
1802,00 22 50.77,-80 24 35.1,10.8,6.22,,0.715
1808,00 22 56.95,-20 39 23.3,10.38,6.07,A8/A9V,0.3
1817,00 23 01.08,-60 17 02.6,10.11,2.06,A3m...,0.237
1836,00 23 15.27,-26 09 43.3,10.93,-1.14,F2,0.52
1842,00 23 18.02,-50 53 37.9,11.87,47.4,M:,1.516
1846,00 23 20.15,+61 12 55.7,11.07,16.56,K7,1.3119999999999998
1848,00 23 20.83,+27 07 40.3,11.0,7.62,,
1856,00 23 27.13,-34 55 08.9,10.75,5.0,G0,0.655
1860,00 23 31.03,+77 11 21.1,11.31,50.71,K,1.462
1866,00 23 37.70,-03 45 48.1,10.66,20.9,,1.099
1868,00 23 38.27,-24 38 55.8,10.01,11.83,G0,0.5820000000000001
1872,00 23 39.70,+52 00 52.3,10.57,1.49,F2,0.401
1881,00 23 45.71,-22 39 16.9,10.78,8.4,G0,0.6
1885,00 23 47.46,-36 51 40.3,10.6,23.75,,1.258
1895,00 23 57.19,+66 07 20.5,10.76,-1.94,,0.61
1901,00 24 01.96,+38 34 37.6,10.71,-0.06,S6;6ev,2.08
1910,00 24 08.87,-62 11 03.9,11.33,21.59,M1,1.39
1920,00 24 15.27,-48 35 19.5,10.35,-0.37,F5/F6V,0.546
1922,00 24 16.48,+12 47 01.7,10.36,0.79,K2,1.1059999999999999
1947,00 24 37.40,-36 29 48.6,10.4,3.82,G0,0.72
1957,00 24 45.66,-29 39 07.3,10.63,4.44,F8,0.574
1965,00 24 50.31,+13 56 29.5,10.24,9.13,G0,0.768
1966,00 24 50.49,-27 42 31.1,10.04,1.58,G5,1.062
1968,00 24 55.61,+23 35 39.1,10.78,10.61,,0.888
1971,00 24 56.63,-26 25 05.6,10.39,2.66,G0,0.5710000000000001
1975,00 25 01.13,+15 17 26.4,10.5,2.14,F2,0.408
1993,00 25 14.56,-61 30 47.8,11.26,26.69,M1,1.35
1995,00 25 15.80,-38 03 03.0,10.25,3.72,F5,0.574
2005,00 25 24.13,-46 55 27.2,10.42,1.86,F3/F5V,0.509
2030,00 25 43.82,+02 19 19.7,10.71,8.94,,
2031,00 25 44.36,-33 34 36.3,10.68,15.76,,1.043
2042,00 25 54.52,-09 33 33.7,10.02,7.97,G0,0.616
2064,00 26 07.04,+36 56 03.5,10.56,15.74,,1.206
2065,00 26 08.04,-47 58 27.8,10.48,6.16,F5/F6IV/V,0.506
2067,00 26 09.85,+07 38 06.4,11.28,5.43,,0.212
2091,00 26 23.51,-37 26 54.9,10.41,5.92,F8,0.391
2098,00 26 33.69,-19 59 36.3,10.08,4.62,F2V,0.40700000000000003
2102,00 26 40.31,+30 11 59.4,10.05,22.32,K0,1.0
2110,00 26 47.68,-22 56 57.1,10.68,2.34,G0,0.38
2120,00 26 52.94,+70 08 34.0,10.52,61.39,M0,1.459
2119,00 26 53.01,-05 30 59.6,10.38,7.83,,0.605
2130,00 27 01.16,-40 29 31.3,10.22,4.3,A1V,0.05
2137,00 27 05.50,-70 14 54.6,10.3,16.04,,0.9670000000000001
2139,00 27 05.61,-25 42 01.6,10.13,5.41,G0,0.599
2148,00 27 11.06,-73 23 50.4,10.41,4.59,F6,0.506
2158,00 27 14.69,-19 04 41.7,10.14,5.49,F5V,0.52
2165,00 27 19.32,+05 00 49.3,10.05,-0.43,K0,1.003
2171,00 27 24.35,+16 00 35.2,10.19,3.88,F8,0.5529999999999999
2201,00 27 49.78,-06 29 01.8,11.59,21.07,,1.229
2233,00 28 18.31,-44 23 20.2,10.05,6.88,G5/G6V,0.75
2255,00 28 42.70,-24 04 42.5,10.28,6.14,F8,0.67
2261,00 28 49.75,-49 05 57.4,10.14,3.22,F2V,0.42
2293,00 29 17.27,+80 54 48.2,11.37,17.58,K:,1.153
2295,00 29 17.58,-31 16 38.5,10.22,4.13,F6V,0.591
2299,00 29 20.13,+79 52 42.0,10.48,2.07,F2,0.557
2310,00 29 27.98,+38 42 54.1,10.68,2.67,K8,1.08
2317,00 29 33.41,-72 40 55.5,11.06,1.91,,0.564
2327,00 29 42.63,+20 18 05.2,10.11,20.25,F2,0.57
2331,00 29 49.25,+02 28 56.1,11.01,1.45,K,0.504
2361,00 30 09.90,-33 24 12.3,10.21,4.21,G3/G5V,0.628
2364,00 30 10.63,+54 27 48.0,10.1,25.04,K8,1.08
2370,00 30 16.33,-29 14 37.5,12.22,2.22,A7,0.41
2373,00 30 18.06,+07 10 44.9,10.68,20.15,K2,1.0659999999999998
2375,00 30 18.95,-28 27 27.0,10.3,7.11,F8,0.57
2382,00 30 24.45,+60 10 09.3,10.9,0.82,B6III-IV,0.469
2387,00 30 27.43,+05 59 51.4,11.27,4.06,,1.1
2391,00 30 29.22,+04 20 20.5,12.25,11.25,M3V:,1.41
2410,00 30 41.99,+09 55 13.6,12.07,8.45,K7,1.3430000000000002
2412,00 30 44.51,+19 04 02.2,10.69,14.69,K0,0.9
2424,00 30 54.75,-38 45 00.1,10.01,-1.2,F2,0.489
2426,00 30 55.09,+73 22 13.7,10.63,36.36,,1.359
2438,00 31 03.10,-32 37 54.5,10.26,3.44,G0,0.449
2443,00 31 04.76,-23 29 15.1,10.63,2.26,G0,0.52
2456,00 31 13.70,-35 28 37.4,10.99,-1.2,B9.5V,0.05
2458,00 31 15.23,+01 57 53.1,12.38,16.71,M0V:,1.339
2461,00 31 16.48,-20 56 53.1,10.38,5.88,F7/F8V,0.7509999999999999
2460,00 31 17.66,+63 20 33.0,10.4,8.09,,
2477,00 31 27.27,+05 57 18.2,10.07,4.33,K5,1.63
2492,00 31 37.54,+00 36 50.6,10.99,10.63,K2,0.682
2499,00 31 41.63,-47 25 19.8,12.41,-0.72,B,-0.27899999999999997
2529,00 32 05.12,+30 32 39.1,10.34,6.78,R...,1.248
2530,00 32 06.17,-36 14 21.6,10.5,0.67,F8,0.5539999999999999
2550,00 32 25.21,-24 52 34.4,10.14,3.49,F2,0.44
2552,00 32 26.81,+67 14 10.4,10.27,98.74,M2.5Ve,1.52
2589,00 32 53.20,-22 41 36.2,10.71,1.62,F7/F8V:,0.444
2596,00 32 58.92,+48 39 29.7,11.65,4.21,M8,1.228
2598,00 32 59.99,-23 29 29.7,10.08,5.34,F6/F7V,0.5479999999999999
2600,00 33 01.23,+44 43 48.7,10.27,9.52,K0,0.78
2604,00 33 05.31,+42 00 04.0,10.94,29.26,M0,1.311
2617,00 33 14.06,-30 56 20.4,10.23,3.89,G2V,0.642
2622,00 33 16.85,-24 17 29.4,10.21,7.12,F7/F8V,0.483
2634,00 33 26.55,-16 27 59.9,11.35,9.54,,0.9470000000000001
2639,00 33 28.00,+09 09 11.5,10.02,17.86,G5,1.062
2644,00 33 30.39,+62 30 40.2,11.11,3.47,B3,0.446
2655,00 33 38.30,-15 29 14.3,11.42,2.7,F2.2:,0.635
2657,00 33 39.68,+62 47 32.7,10.34,-0.55,G5,0.18600000000000003
2670,00 33 50.69,-40 25 50.0,10.36,6.34,G0,0.68
2675,00 33 53.21,+81 46 15.5,10.42,3.34,F0,0.397
2676,00 33 53.63,-27 36 50.9,10.11,8.08,G0,0.705
2680,00 33 57.69,+02 00 54.5,11.25,8.75,G0,0.639
2687,00 34 08.02,-34 45 53.7,10.39,-0.42,F3/F5V,0.41200000000000003
2720,00 34 38.42,-33 05 38.4,10.19,3.9,F5V,0.37
2722,00 34 38.95,-52 29 38.4,10.02,2.47,K0,1.327
2739,00 34 59.87,-21 27 04.4,10.42,2.61,F2,0.55
2767,00 35 16.38,+11 59 10.5,10.38,10.82,G5,0.732
2784,00 35 31.32,+10 08 42.5,10.85,2.28,K,0.836
2807,00 35 43.03,+46 40 24.0,10.78,1.6,A0,-0.051
2822,00 35 52.14,+13 59 51.6,10.85,6.3,K0,0.7170000000000001
2827,00 35 52.90,-21 37 08.8,10.52,3.42,F5,0.72
2828,00 35 53.01,+12 35 50.6,11.26,23.82,G:...,1.31
2830,00 35 53.99,-30 37 03.5,11.04,2.5,G0,0.5529999999999999
2834,00 35 57.27,+01 21 06.8,10.45,1.66,K7,
2839,00 36 00.11,-09 30 51.2,11.21,28.51,M:,1.392
2842,00 36 01.13,-31 24 11.9,10.1,3.94,F7/F8V+...,0.573
2883,00 36 32.79,-58 18 52.9,10.11,16.64,,0.94
2891,00 36 39.85,-33 15 57.4,10.1,4.33,F5V,0.46
2911,00 36 52.24,-34 16 50.2,10.78,1.25,A8V,0.32799999999999996
2914,00 36 55.76,+15 44 49.5,10.52,5.38,F8,0.5760000000000001
2924,00 37 05.78,-26 08 41.6,10.2,5.38,G0,0.63
2925,00 37 06.09,-79 04 56.2,10.09,2.01,F0V,0.349
2943,00 37 21.49,-39 03 44.7,10.33,7.92,,0.522
3008,00 38 15.36,+52 19 56.7,10.48,43.4,M0,1.4240000000000002
